In,a,splendid,chamber,of,the
a,splendid,chamber,of,the,Palais
splendid,chamber,of,the,Palais,Royal
chamber,of,the,Palais,Royal,formerly
of,the,Palais,Royal,formerly,styled
the,Palais,Royal,formerly,styled,the
Palais,Royal,formerly,styled,the,Palais
Royal,formerly,styled,the,Palais,Cardinal
formerly,styled,the,Palais,Cardinal,a
styled,the,Palais,Cardinal,a,man
the,Palais,Cardinal,a,man,was
Palais,Cardinal,a,man,was,sitting
Cardinal,a,man,was,sitting,in
a,man,was,sitting,in,deep
man,was,sitting,in,deep,reverie
was,sitting,in,deep,reverie,his
sitting,in,deep,reverie,his,head
in,deep,reverie,his,head,supported
deep,reverie,his,head,supported,on
reverie,his,head,supported,on,his
his,head,supported,on,his,hands
head,supported,on,his,hands,leaning
supported,on,his,hands,leaning,over
on,his,hands,leaning,over,a
his,hands,leaning,over,a,gilt
hands,leaning,over,a,gilt,and
leaning,over,a,gilt,and,inlaid
over,a,gilt,and,inlaid,table
a,gilt,and,inlaid,table,which
gilt,and,inlaid,table,which,was
and,inlaid,table,which,was,covered
inlaid,table,which,was,covered,with
table,which,was,covered,with,letters
which,was,covered,with,letters,and
was,covered,with,letters,and,papers
Behind,this,figure,glowed,a,vast
this,figure,glowed,a,vast,fireplace
figure,glowed,a,vast,fireplace,alive
glowed,a,vast,fireplace,alive,with
a,vast,fireplace,alive,with,leaping
vast,fireplace,alive,with,leaping,flames
fireplace,alive,with,leaping,flames,great
alive,with,leaping,flames,great,logs
with,leaping,flames,great,logs,of
leaping,flames,great,logs,of,oak
flames,great,logs,of,oak,blazed
great,logs,of,oak,blazed,and
logs,of,oak,blazed,and,crackled
of,oak,blazed,and,crackled,on
oak,blazed,and,crackled,on,the
blazed,and,crackled,on,the,polished
and,crackled,on,the,polished,brass
crackled,on,the,polished,brass,andirons
on,the,polished,brass,andirons,whose
the,polished,brass,andirons,whose,flicker
polished,brass,andirons,whose,flicker,shone
brass,andirons,whose,flicker,shone,upon
andirons,whose,flicker,shone,upon,the
whose,flicker,shone,upon,the,superb
flicker,shone,upon,the,superb,habiliments
shone,upon,the,superb,habiliments,of
upon,the,superb,habiliments,of,the
the,superb,habiliments,of,the,lonely
superb,habiliments,of,the,lonely,tenant
habiliments,of,the,lonely,tenant,of
of,the,lonely,tenant,of,the
the,lonely,tenant,of,the,room
lonely,tenant,of,the,room,which
tenant,of,the,room,which,was
of,the,room,which,was,illumined
the,room,which,was,illumined,grandly
room,which,was,illumined,grandly,by
which,was,illumined,grandly,by,twin
was,illumined,grandly,by,twin,candelabra
illumined,grandly,by,twin,candelabra,rich
grandly,by,twin,candelabra,rich,with
by,twin,candelabra,rich,with,waxlights
Any,one,who,happened,at,that
one,who,happened,at,that,moment
who,happened,at,that,moment,to
happened,at,that,moment,to,contemplate
at,that,moment,to,contemplate,that
that,moment,to,contemplate,that,red
moment,to,contemplate,that,red,simarthe
to,contemplate,that,red,simarthe,gorgeous
contemplate,that,red,simarthe,gorgeous,robe
that,red,simarthe,gorgeous,robe,of
red,simarthe,gorgeous,robe,of,officeand
simarthe,gorgeous,robe,of,officeand,the
gorgeous,robe,of,officeand,the,rich
robe,of,officeand,the,rich,lace
of,officeand,the,rich,lace,or
officeand,the,rich,lace,or,who
the,rich,lace,or,who,gazed
rich,lace,or,who,gazed,on
lace,or,who,gazed,on,that
or,who,gazed,on,that,pale
who,gazed,on,that,pale,brow
gazed,on,that,pale,brow,bent
on,that,pale,brow,bent,in
that,pale,brow,bent,in,anxious
pale,brow,bent,in,anxious,meditation
brow,bent,in,anxious,meditation,might
bent,in,anxious,meditation,might,in
in,anxious,meditation,might,in,the
anxious,meditation,might,in,the,solitude
meditation,might,in,the,solitude,of
might,in,the,solitude,of,that
in,the,solitude,of,that,apartment
the,solitude,of,that,apartment,combined
solitude,of,that,apartment,combined,with
of,that,apartment,combined,with,the
that,apartment,combined,with,the,silence
apartment,combined,with,the,silence,of
combined,with,the,silence,of,the
with,the,silence,of,the,antechambers
the,silence,of,the,antechambers,and
silence,of,the,antechambers,and,the
of,the,antechambers,and,the,measured
the,antechambers,and,the,measured,paces
antechambers,and,the,measured,paces,of
and,the,measured,paces,of,the
the,measured,paces,of,the,guards
measured,paces,of,the,guards,upon
paces,of,the,guards,upon,the
of,the,guards,upon,the,landingplace
the,guards,upon,the,landingplace,have
